Designator,Mid X,Mid Y,Rotation,Layer
_2,184.658,-136.271,90.0,top
,184.785,-117.221,90.0,top
C1,114.458,-90.439,90.0,bottom
C10,113.865501,-103.439,180.0,bottom
C100,169.458,-122.3465,90.0,top
C101,168.558,-117.7715,270.0,top
C102,168.458,-136.6715,270.0,top
C103,168.2005,-119.539,180.0,top
C104,168.2005,-115.989,180.0,top
C105,168.0255,-138.439,180.0,top
C106,168.0255,-134.864,180.0,top
C107,162.4255,-121.939,180.0,top
C108,162.4255,-122.689,180.0,top
C109,122.658,-103.6715,270.0,bottom
C11,126.1625,-86.77,180.0,bottom
C110,125.658,-103.6715,270.0,bottom
C111,122.958,-145.4465,270.0,bottom
C112,117.5505,-134.939,180.0,bottom
C113,122.958,-134.4465,90.0,bottom
C114,137.873,-104.639,0.0,top
C115,137.873,-103.7,0.0,top
C116,139.954,-104.112,90.0,top
C117,124.968,-107.061,180.0,top
C118,135.858,-114.2465,270.0,top
C119,140.658,-108.712,0.0,top
C12,126.1625,-83.84,180.0,bottom
C120,204.216,-78.7,180.0,bottom
C121,140.7425,-106.045,0.0,top
C122,140.658,-109.539,0.0,top
C123,139.4255,-113.739,0.0,top
C124,134.158,-114.2465,270.0,top
C125,130.6255,-110.439,180.0,top
C126,130.6255,-106.439,180.0,top
C127,134.358,-104.239,90.0,top
C128,140.7425,-106.745,0.0,top
C129,133.658,-104.239,90.0,top
C13,119.7875,-86.922,180.0,bottom
C130,171.058,-90.6465,270.0,bottom
C131,178.3255,-90.139,0.0,top
C132,178.333,-89.439,0.0,top
C14,119.7875,-83.992,180.0,bottom
C15,119.4905,-98.039,180.0,top
C16,119.4905,-97.074,180.0,top
C17,117.2905,-97.074,0.0,top
C18,121.958,-97.8465,90.0,top
C19,126.758,-97.8465,90.0,top
C2,119.158,-96.839,90.0,bottom
C20,174.458,-91.1015,270.0,bottom
C21,118.4255,-77.139,180.0,bottom
C22,140.98985,-94.361,0.0,bottom
C23,122.4255,-114.339,180.0,bottom
C24,172.847,-148.336,180.0,bottom
C25,170.561,-156.2365,270.0,bottom
C3,127.3205,-98.139,180.0,bottom
C31,164.7505,-67.164,180.0,bottom
C32,164.7505,-66.464,180.0,bottom
C33,137.767,-107.823,0.0,bottom
C34,137.287,-109.4475,270.0,bottom
C35,154.558,-59.8215,90.0,bottom
C36,155.0905,-61.164,0.0,bottom
C37,146.0005,-127.539,180.0,top
C38,146.0005,-128.239,180.0,top
C39,151.258,-130.5215,270.0,top
C4,127.3205,-96.539,180.0,bottom
C40,148.708,-122.5,90.0,top
C41,154.008,-127.239,0.0,top
C42,154.0155,-127.939,0.0,top
C43,153.5,-125.239,270.0,top
C44,146.0005,-125.314,180.0,top
C45,155.658,-59.8215,90.0,bottom
C46,164.958,-59.8215,90.0,bottom
C47,131.658,-118.9715,270.0,top
C48,136.458,-118.839,270.0,top
C49,165.4905,-61.164,0.0,bottom
C5,122.0205,-90.939,0.0,bottom
C50,165.958,-59.8215,90.0,bottom
C51,185.5505,-67.064,180.0,bottom
C52,185.5505,-66.364,180.0,bottom
C53,175.358,-59.8215,90.0,bottom
C54,175.8905,-61.164,0.0,bottom
C55,176.458,-59.8215,90.0,bottom
C56,136.308,-76.6565,90.0,top
C57,147.12,-86.6715,270.0,top
C58,132.4755,-86.064,180.0,top
C59,137.808,-91.825,270.0,top
C6,119.5505,-102.139,0.0,bottom
C60,143.308,-91.825,270.0,top
C61,147.6505,-83.439,0.0,top
C62,140.308,-76.6315,90.0,top
C63,132.4755,-82.039,180.0,top
C64,132.4755,-84.564,180.0,top
C65,185.658,-59.8215,90.0,bottom
C66,186.1905,-61.164,0.0,bottom
C67,186.758,-59.8215,90.0,bottom
C68,144.858,-76.6965,90.0,top
C69,144.008,-76.6565,90.0,top
C7,122.158,-101.5065,90.0,bottom
C70,143.308,-76.6565,90.0,top
C71,140.6905,-81.154,180.0,bottom
C72,132.658,-77.8315,90.0,top
C73,127.858,-77.839,90.0,top
C74,155.0905,-63.845,0.0,bottom
C75,165.7515,-148.899,180.0,bottom
C77,153.1,-63.964,0.0,bottom
C79,182.6505,-120.339,0.0,top
C8,170.6655,-59.264,0.0,bottom
C80,156.300498,-104.47345,180.0,bottom
C82,122.3275,-86.8945,180.0,bottom
C83,122.3275,-83.9645,180.0,bottom
C84,157.0655,-63.964,180.0,bottom
C85,165.4905,-63.845,0.0,bottom
C86,163.52,-63.964,0.0,bottom
C87,167.465,-63.964,180.0,bottom
C88,175.8905,-63.845,0.0,bottom
C89,173.92,-63.964,0.0,bottom
C9,115.458001,-100.9715,270.0,bottom
C90,177.865,-63.964,180.0,bottom
C91,186.1905,-63.845,0.0,bottom
C92,184.2255,-63.964,0.0,bottom
C93,188.16,-63.964,180.0,bottom
C94,182.5505,-139.239,0.0,top
C95,182.6505,-121.039,0.0,top
C96,182.5505,-139.939,0.0,top
C97,169.358,-135.164,90.0,top
C98,169.533,-116.2965,90.0,top
C99,169.358,-141.2465,90.0,top
D1,115.058,-91.039,90.0,top
D2,107.9855,-87.639,0.0,top
D3,122.458,-111.575,0.0,bottom
D4,122.394,-113.239,90.0,bottom
D5,122.458,-115.903,180.0,bottom
D6,122.458,-118.075,180.0,bottom
D7,122.458,-120.175,180.0,bottom
IC1,119.108,-99.839,90.0,bottom
IC2,119.558,-93.974,180.0,top
IC4,150.008,-126.514,0.0,top
IC5,170.658,-60.364,180.0,bottom
IC6,135.64,-109.831,90.0,bottom
J1,111.058,-93.989,270.0,top
J11,172.358,-152.97,90.0,top
J12,109.458,-126.639001,270.0,top
J13,193.258,-126.689,90.0,top
J14,113.636145,-114.154032,270.0,bottom
J15,175.048,-88.739,270.0,top
J2,155.057,-62.564,270.0,top
J3,165.458,-62.564,270.0,top
J4,175.857,-62.564,270.0,top
J5,186.212,-62.564,270.0,top
J6,154.918,-152.97,90.0,top
J7,121.988,-63.879,0.0,top
J8,128.128,-63.879,0.0,top
J9,163.658,-152.97,90.0,top
L1,117.558,-97.439,180.0,bottom
L10,137.758,-102.239,0.0,top
L2,124.1555,-102.039,180.0,bottom
L3,125.4705,-90.189,0.0,bottom
L4,124.264,-86.0485,90.0,bottom
L5,121.92,-85.4335,90.0,bottom
L6,127.761,-84.8195,90.0,bottom
L7,125.73,-85.3065,90.0,bottom
L8,119.355,-85.4585,90.0,bottom
L9,124.1555,-103.239,180.0,bottom
Q1,155.558,-138.289,0.0,bottom
Q2,180.158,-92.448,180.0,bottom
Q4,155.558,-142.164,0.0,bottom
R1,174.4205,-140.4065,90.0,top
R10,111.5655,-92.739,0.0,bottom
R100,197.558,-88.8715,270.0,bottom
R101,197.558,-86.6715,90.0,bottom
R102,203.4505,-81.239,0.0,bottom
R103,203.835,-79.9585,270.0,bottom
R104,172.5605,-90.239,180.0,bottom
R105,183.258,-92.2405,270.0,bottom
R106,183.358,-90.2505,270.0,bottom
R107,127.3905,-110.744,0.0,top
R108,129.6255,-112.639,0.0,top
R109,158.6,-137.8965,270.0,bottom
R11,111.5655,-95.739,0.0,bottom
R110,158.6,-141.764,270.0,bottom
R111,142.494,-113.2085,90.0,top
R112,138.058,-110.739,270.0,bottom
R113,144.399,-111.887,180.0,top
R114,144.526,-110.1355,90.0,bottom
R12,174.828,-141.639,180.0,top
R14,123.3505,-89.439,0.0,top
R15,123.3505,-88.739,0.0,top
R16,151.158,-62.1715,270.0,bottom
R17,130.058,-104.5465,270.0,bottom
R18,130.758,-104.5465,270.0,bottom
R19,153.1255,-61.164,180.0,bottom
R2,112.4255,-132.039,0.0,bottom
R20,157.0655,-61.164,0.0,bottom
R21,158.958,-62.1715,90.0,bottom
R22,134.9255,-107.139,0.0,bottom
R23,174.8505,-122.739,180.0,top
R24,141.058,-113.5715,90.0,bottom
R25,138.1005,-113.839,0.0,bottom
R26,151.258,-122.5,270.0,top
R27,151.958,-122.5,270.0,top
R28,151.0905,-121.139,180.0,top
R29,152.52,-130.02,180.0,top
R3,111.890501,-103.439,180.0,bottom
R30,161.558,-62.1715,270.0,bottom
R31,163.52,-61.164,180.0,bottom
R32,135.258,-116.4065,90.0,top
R33,167.465,-61.164,0.0,bottom
R34,169.358,-62.1715,90.0,bottom
R35,149.3255,-121.139,180.0,top
R36,146.0005,-126.739,0.0,bottom
R37,171.958,-62.1715,270.0,bottom
R38,154.458,-62.504,270.0,bottom
R39,173.92,-61.164,180.0,bottom
R4,123.458,-93.8465,90.0,bottom
R40,177.865,-61.164,0.0,bottom
R41,179.758,-62.1565,90.0,bottom
R42,182.258,-62.1715,270.0,bottom
R43,184.2255,-61.164,180.0,bottom
R44,188.16,-61.164,0.0,bottom
R45,190.158,-62.1715,90.0,bottom
R46,123.3505,-87.339,0.0,top
R47,123.3505,-88.039,0.0,top
R48,148.3905,-84.139,180.0,top
R49,129.358,-104.5465,270.0,bottom
R5,110.0505,-87.639,180.0,top
R50,148.383,-85.58,180.0,top
R51,148.383,-84.839,180.0,top
R52,132.4755,-82.939,180.0,top
R53,139.7655,-80.454,0.0,bottom
R54,173.058,-138.0,90.0,top
R55,141.558,-85.7865,90.0,bottom
R56,137.158,-85.8215,90.0,bottom
R57,173.158,-119.1465,90.0,top
R58,176.5255,-67.364,180.0,bottom
R59,137.758,-79.739,0.0,bottom
R6,109.8905,-132.039,180.0,bottom
R60,156.258,-67.7715,270.0,bottom
R61,140.9905,-110.839,0.0,top
R62,136.558,-115.4715,90.0,top
R63,130.937,-110.0085,90.0,bottom
R64,127.3905,-109.982,0.0,top
R65,128.758,-80.3715,90.0,top
R66,174.458,-121.4465,90.0,top
R67,155.758,-62.504,270.0,bottom
R68,164.958,-62.504,270.0,bottom
R69,165.958,-62.504,270.0,bottom
R7,116.958,-100.0465,90.0,bottom
R70,137.258,-115.4715,90.0,top
R71,139.2655,-86.154,0.0,bottom
R72,175.358,-62.504,270.0,bottom
R73,176.458,-62.504,270.0,bottom
R74,185.658,-62.504,270.0,bottom
R75,186.758,-62.504,270.0,bottom
R76,171.8255,-132.464,180.0,top
R77,171.7795,-138.539,180.0,top
R78,172.0005,-113.589,180.0,top
R79,171.9255,-119.639,180.0,top
R8,124.558,-96.7465,90.0,bottom
R80,174.258,-134.0715,270.0,top
R81,174.433,-115.189,270.0,top
R82,168.9255,-120.739,180.0,top
R83,169.0005,-114.789,180.0,top
R84,168.8255,-139.639,180.0,top
R85,168.8505,-133.664,180.0,top
R86,141.758,-139.4465,90.0,bottom
R87,122.4255,-144.139,180.0,bottom
R88,141.758,-146.639,270.0,bottom
R89,122.958,-137.4715,90.0,bottom
R9,117.532,-110.0475,270.0,top
R90,141.758,-149.4465,90.0,bottom
R91,117.6535,-132.08,0.0,bottom
R92,141.758,-136.0465,90.0,bottom
R93,128.658,-104.5465,270.0,bottom
R94,131.158,-112.0465,90.0,top
R95,140.9905,-111.539,0.0,top
R96,172.339,-149.6575,90.0,bottom
R97,171.9065,-155.702,0.0,bottom
R98,141.2995,-104.648,180.0,top
R99,197.558,-91.0715,270.0,bottom
S1,114.257,-111.565,0.0,top
SW1,202.577871,-88.119027,270.0,bottom
SW3,113.273,-137.5365,0.0,top
U1,125.508,-93.739,90.0,bottom
U10,130.108,-77.7815,180.0,top
U11,135.658,-109.239,90.0,top
U12,157.758,-101.839,90.0,bottom
U13,132.358,-145.539,180.0,bottom
U14,166.309,-146.4365,270.0,bottom
U15,184.758,-117.239,180.0,top
U16,184.683,-136.174,180.0,top
U17,139.508,-97.18205,270.0,bottom
U19,171.8205,-140.639,0.0,top
U2,113.307999,-101.089002,90.0,bottom
U20,171.858,-121.739,0.0,top
U21,162.858,-126.664,90.0,top
U22,171.8205,-134.564,0.0,top
U23,171.9955,-115.689,0.0,top
U3,124.208,-97.789,180.0,top
U4,160.232998,-66.363999,180.0,bottom
U5,120.008,-74.48205,90.0,bottom
U6,134.208,-118.889,0.0,top
U7,181.058,-66.364001,180.0,bottom
U8,140.058,-84.239,270.0,top
U9,139.258,-83.654,90.0,bottom
